device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon(TM) Graphics,65536,8,29306768,29.306768,134.29843139648438,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,131072,8,58142608,58.142608,266.7984313964844,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,262144,8,115814288,115.814288,531.7984313964844,,512.0,,,,,,oom,pre-run: model size >= 512 MiB (est. 532 MiB)
AMD Radeon(TM) Graphics,524288,8,231157648,231.157648,1061.7984313964844,,512.0,,,,,,oom,pre-run: model size >= 512 MiB (est. 1062 MiB)
AMD Radeon(TM) Graphics,1048576,8,461844368,461.844368,2121.7984313964844,,512.0,,,,,,oom,pre-run: model size >= 512 MiB (est. 2122 MiB)
AMD Radeon(TM) Graphics,0,16,474288,0.474288,1.811553955078125,0.0,512.0,97.03949999675388,97.26590000354918,97.13529999862658,97.14893999989727,0.06973105864284876,,
AMD Radeon(TM) Graphics,1,16,475808,0.475808,1.8180007934570312,0.0,512.0,97.0856999992975,97.30929999932414,97.16554999977234,97.17157000050065,0.06801446999198793,,
AMD Radeon(TM) Graphics,2,16,477328,0.477328,1.8244476318359375,0.0,512.0,97.20750000269618,97.42990000086138,97.32830000211834,97.33607000016491,0.0694793213063545,,
AMD Radeon(TM) Graphics,4,16,480368,0.480368,1.83734130859375,0.0,512.0,97.63969999767141,97.85420000116574,97.70874999958323,97.72003999969456,0.06437043216540209,,
AMD Radeon(TM) Graphics,8,16,486448,0.486448,1.863128662109375,0.0,512.0,98.32679999817628,98.48629999760306,98.44915000212495,98.43049999981304,0.04961901003810739,,
AMD Radeon(TM) Graphics,16,16,498608,0.498608,1.914703369140625,0.0,512.0,99.88500000326894,100.14360000059241,99.92324999984703,99.95626000018092,0.07511281079846642,,
AMD Radeon(TM) Graphics,32,16,522928,0.522928,2.017852783203125,0.0,512.0,102.9086999988067,103.19080000044778,103.0162500028382,103.02339000190841,0.07851129171386696,,
AMD Radeon(TM) Graphics,64,16,571568,0.571568,2.224151611328125,0.0,512.0,108.91120000451338,109.29680000117514,109.03354999391013,109.03601999889361,0.11770679523872646,,
AMD Radeon(TM) Graphics,128,16,668848,0.668848,2.636749267578125,0.0,512.0,120.73030000465224,121.0473999963142,120.87400000018533,120.87976999901002,0.09205290753976958,,
AMD Radeon(TM) Graphics,256,16,863408,0.863408,3.461944580078125,0.0,512.0,167.1645999958855,175.07509999995818,169.72679999889806,170.51644999883138,3.073078646500215,,
AMD Radeon(TM) Graphics,512,16,1252528,1.252528,5.112335205078125,0.0,512.0,534.2252999980701,560.3316000051564,551.4106000009633,550.2526600001147,8.254874811330499,,
AMD Radeon(TM) Graphics,1024,16,2030768,2.030768,8.413116455078125,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,2048,16,3587248,3.587248,15.014678955078125,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,4096,16,6700208,6.700208,28.217803955078125,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,8192,16,12926128,12.926128,54.624053955078125,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,16384,16,25377968,25.377968,107.43655395507812,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,32768,16,50281648,50.281648,213.06155395507812,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,65536,16,100089008,100.089008,424.3115539550781,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
