device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
CPU,128,16,668848,0.668848,2.636749267578125,0.0,32768.0,120.42359999759356,130.24560000485508,126.84385000102338,126.41825000027893,3.387376202525657,,
CPU,256,16,863408,0.863408,3.461944580078125,0.0,32768.0,180.1761999959126,189.40290000318782,185.80864999967162,185.86702999964473,2.8183220076451723,,
CPU,512,16,1252528,1.252528,5.112335205078125,0.0,32768.0,292.0077000017045,314.47949999710545,303.9397499996994,302.88479999944684,7.531031511820098,,
CPU,1024,16,2030768,2.030768,8.413116455078125,0.0,32768.0,522.5114999993821,562.0535000052769,540.0960000006307,539.8618000013812,13.57203522265644,,
CPU,2048,16,3587248,3.587248,15.014678955078125,,32768.0,,,,,,time,run took 1023.81 ms (> 1000 ms)
CPU,4096,16,6700208,6.700208,28.217803955078125,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,8192,16,12926128,12.926128,54.624053955078125,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,16384,16,25377968,25.377968,107.43655395507812,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,32768,16,50281648,50.281648,213.06155395507812,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,65536,16,100089008,100.089008,424.3115539550781,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,131072,16,199703728,199.703728,846.8115539550781,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,262144,16,398933168,398.933168,1691.8115539550781,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,524288,16,797392048,797.392048,3381.811553955078,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,1048576,16,1594309808,1594.309808,6761.811553955078,,32768.0,,,,,,time,blocked: lower width failed at stages=2048 (time limit)
CPU,0,32,481008,0.481008,1.837799072265625,0.0,32768.0,66.4489999981015,72.93999999819789,69.6003999983077,69.52376000044751,2.030031067175576,,
CPU,1,32,486608,0.486608,1.8604202270507812,0.0,32768.0,67.6381000012043,73.42980000248645,69.48189999820897,70.07767999966745,1.9076523429742305,,
CPU,2,32,492208,0.492208,1.8830413818359375,0.0,32768.0,68.33809999807272,75.70540000597248,70.97480000084033,71.29896000042208,2.063233935677422,,
CPU,4,32,503408,0.503408,1.92828369140625,0.0,32768.0,66.50929999887012,73.93790000060108,69.26045000000158,69.63146000125562,1.9017694469799367,,
