device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon RX 7800 XT,64,32,839408,0.839408,3.285552978515625,0.0,16384.0,20.75709999917308,22.376400003849994,21.307699997123564,21.452599999611266,0.48126844985912426,,
AMD Radeon RX 7800 XT,128,32,1197808,1.197808,4.733306884765625,0.0,16384.0,48.652099998435006,58.3385999998427,50.17635000331211,51.036400000884896,2.664847196028323,,
AMD Radeon RX 7800 XT,256,32,1914608,1.914608,7.628814697265625,0.0,16384.0,141.80160000250908,162.65199999907054,151.75779999844963,151.94609999889508,8.175414164580083,,
AMD Radeon RX 7800 XT,512,32,3348208,3.348208,13.419830322265625,0.0,16384.0,503.1444000051124,524.9426999944262,511.50509999934,511.32712999969954,6.403918422329669,,
AMD Radeon RX 7800 XT,1024,32,6215408,6.215408,25.001861572265625,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,2048,32,11949808,11.949808,48.165924072265625,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,32,23418608,23.418608,94.49404907226562,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,32,46356208,46.356208,187.15029907226562,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,32,92231408,92.231408,372.4627990722656,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,32768,32,183981808,183.981808,743.0877990722656,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,32,367482608,367.482608,1484.3377990722656,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,131072,32,734484208,734.484208,2966.8377990722656,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,262144,32,1468487408,1468.487408,5931.837799072266,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,524288,32,2936493808,2936.493808,11861.837799072266,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,1048576,32,5872506608,5872.506608,23721.837799072266,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 23722 MiB)
AMD Radeon RX 7800 XT,0,64,494448,0.494448,1.890289306640625,0.0,16384.0,3.457999999227468,3.715300001204014,3.66050000229734,3.6087100008444395,0.0913588805012415,,
AMD Radeon RX 7800 XT,1,64,515888,0.515888,1.9745559692382812,0.0,16384.0,3.51030000456376,3.837500000372529,3.7736999984190334,3.7090599988005124,0.1160702555415206,,
AMD Radeon RX 7800 XT,2,64,537328,0.537328,2.0588226318359375,0.0,16384.0,3.6007000016979873,4.058400001667906,3.838799999357434,3.810610000800807,0.12484305678383197,,
AMD Radeon RX 7800 XT,4,64,580208,0.580208,2.22735595703125,0.0,16384.0,3.722500005096663,4.2861999972956255,3.935300002922304,3.9357700014079455,0.18790581095342448,,
AMD Radeon RX 7800 XT,8,64,665968,0.665968,2.564422607421875,0.0,16384.0,3.944900003261864,4.24879999627592,4.111399997782428,4.106999999930849,0.11751014347778334,,
AMD Radeon RX 7800 XT,16,64,837488,0.837488,3.238555908203125,0.0,16384.0,4.97969999560155,7.147399999666959,5.431500005215639,5.493560000468278,0.5931888172300795,,
AMD Radeon RX 7800 XT,32,64,1180528,1.180528,4.586822509765625,0.0,16384.0,9.444099996471778,10.053999998490326,9.603750000678701,9.696109998913016,0.2312195509902126,,
AMD Radeon RX 7800 XT,64,64,1866608,1.866608,7.283355712890625,0.0,16384.0,20.68629999848781,28.15109999937704,21.078649995615706,21.824619999097195,2.1419155515954507,,
AMD Radeon RX 7800 XT,128,64,3238768,3.238768,12.676422119140625,0.0,16384.0,47.52100000041537,51.2488000022131,48.82599999837112,49.101740001060534,1.2513746522246625,,
AMD Radeon RX 7800 XT,256,64,5983088,5.983088,23.462554931640625,0.0,16384.0,137.5557999999728,139.49680000223452,138.4671999985585,138.5699599988584,0.5943221444109537,,
AMD Radeon RX 7800 XT,512,64,11471728,11.471728,45.034820556640625,0.0,16384.0,503.81990000460064,512.2334999978193,507.6066500005254,507.5887799990596,2.5470158391238984,,
AMD Radeon RX 7800 XT,1024,64,22449008,22.449008,88.17935180664062,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,2048,64,44403568,44.403568,174.46841430664062,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,64,88312688,88.312688,347.0465393066406,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,64,176130928,176.130928,692.2027893066406,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,64,351767408,351.767408,1382.5152893066406,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,32768,64,703040368,703.040368,2763.1402893066406,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,64,1405586288,1405.586288,5524.390289306641,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,131072,64,2810678128,2810.678128,11046.89028930664,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,262144,64,5620861808,5620.861808,22091.89028930664,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 22092 MiB)
AMD Radeon RX 7800 XT,524288,64,11241229168,11241.229168,44181.89028930664,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 44182 MiB)
AMD Radeon RX 7800 XT,1048576,64,22481963888,22481.963888,88361.89028930664,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 88362 MiB)
AMD Radeon RX 7800 XT,0,128,521328,0.521328,1.995269775390625,0.0,16384.0,3.4153999949921854,3.6909000045852736,3.472950000286801,3.5102400004689116,0.09106568385708551,,
AMD Radeon RX 7800 XT,1,128,605168,0.605168,2.3200149536132812,0.0,16384.0,3.5231000001658686,3.8624999942840077,3.7740000007033814,3.718349998962367,0.12688577560554187,,
AMD Radeon RX 7800 XT,2,128,689008,0.689008,2.6447601318359375,0.0,16384.0,3.7152000004425645,3.9937000037753023,3.798450001340825,3.8260600005742162,0.09858537675142633,,
AMD Radeon RX 7800 XT,4,128,856688,0.856688,3.29425048828125,0.0,16384.0,3.8801999980933033,4.767700003867503,4.031549997307593,4.139709999435581,0.27511022719546896,,
AMD Radeon RX 7800 XT,8,128,1192048,1.192048,4.593231201171875,0.0,16384.0,4.157199997280259,4.572199999529403,4.418750002514571,4.380599999421975,0.12688584758847268,,
AMD Radeon RX 7800 XT,16,128,1862768,1.862768,7.191192626953125,0.0,16384.0,4.96220000059111,5.8905000041704625,5.4515999981958885,5.375849999836646,0.2781271590803643,,
AMD Radeon RX 7800 XT,32,128,3204208,3.204208,12.387115478515625,0.0,16384.0,9.50379999994766,10.738899996795226,9.962650001398288,10.070420000556624,0.41860218154297973,,
AMD Radeon RX 7800 XT,64,128,5887088,5.887088,22.778961181640625,0.0,16384.0,19.964099999924656,22.819600002549123,20.67650000026333,20.890520000830293,0.8165096106826756,,
AMD Radeon RX 7800 XT,128,128,11252848,11.252848,43.562652587890625,0.0,16384.0,48.17889999685576,50.39379999652738,48.94244999741204,49.03883999941172,0.6141562170881645,,
AMD Radeon RX 7800 XT,256,128,21984368,21.984368,85.13003540039062,0.0,16384.0,137.858200003393,141.8844999934663,140.30645000457298,140.25016000014148,1.2039333364918217,,
AMD Radeon RX 7800 XT,512,128,43447408,43.447408,168.26480102539062,0.0,16384.0,488.1798999995226,497.33150000247406,495.2154499987955,493.9744299990707,3.0598506275018162,,
AMD Radeon RX 7800 XT,1024,128,86373488,86.373488,334.5343322753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,2048,128,172225648,172.225648,667.0733947753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,128,343929968,343.929968,1332.1515197753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,128,687338608,687.338608,2662.3077697753906,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,128,1374155888,1374.155888,5322.620269775391,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,32768,128,2747790448,2747.790448,10643.24526977539,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,128,5495059568,5495.059568,21284.49526977539,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 21284 MiB)
AMD Radeon RX 7800 XT,131072,128,10989597808,10989.597808,42566.99526977539,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 42567 MiB)
AMD Radeon RX 7800 XT,262144,128,21978674288,21978.674288,85131.99526977539,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 85132 MiB)
AMD Radeon RX 7800 XT,524288,128,43956827248,43956.827248,170261.9952697754,,16384.0,,,,,,oom,pre-run: model size >= 16384 MiB (est. 170262 MiB)
